Iteration	Posterior	Likelihood	Prior	d	m	obsNodes[1]	obsNodes[2]	obsNodes[3]	obsNodes[4]	obsNodes[5]	obsNodes[6]	obsNodes[7]	obsNodes[8]	obsNodes[9]	obsNodes[10]	obsNodes[11]	obsNodes[12]	obsNodes[13]	obsNodes[14]	obsNodes[15]	obsNodes[16]	obsNodes[17]	obsNodes[18]	obsNodes[19]	obsNodes[20]	s
2400	-9766.9	-9760.11	-6.79161	14.44858	11.41541	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.113163
2500	-9766.91	-9760.11	-6.8079	14.44858	11.25924	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.299309
2600	-9766.82	-9760.11	-6.71415	14.44858	11.26856	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.613962
2700	-9766.75	-9760.11	-6.64692	14.44858	11.46613	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.467686
2800	-9766.8	-9760.11	-6.69741	14.44858	11.21437	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.931298
2900	-9766.88	-9760.11	-6.77791	14.44858	11.05599	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.794259
3000	-9767	-9760.11	-6.89235	14.44858	10.77136	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.852693
3100	-9766.94	-9760.11	-6.82865	14.44858	10.87221	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.958324
3200	-9767.07	-9760.11	-6.96646	14.44858	10.40852	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.238908
3300	-9766.95	-9760.11	-6.8409	14.44858	10.77335	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.153786
3400	-9767.15	-9760.11	-7.04512	14.44858	10.3565	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.989838
3500	-9767.18	-9760.11	-7.07115	14.44858	10.17159	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.193841
3600	-9767.64	-9760.11	-7.5286	14.44858	10.12545	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.381567
3700	-9767.16	-9760.11	-7.05439	14.44858	10.38398	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	2.917794
3800	-9767	-9760.11	-6.89377	14.44858	10.57373	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.32528
3900	-9767.03	-9760.11	-6.9213	14.44858	10.36882	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.904899
4000	-9767.19	-9760.11	-7.08405	14.44858	10.11685	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.233977
4100	-9767.14	-9760.11	-7.03753	14.44858	10.33209	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.056331
4200	-9767	-9760.11	-6.88892	14.44858	10.58869	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.321564
4300	-9766.98	-9760.11	-6.87007	14.44858	10.72904	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.062494
4400	-9767.06	-9760.11	-6.95396	14.44858	10.39444	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.354048
4500	-9767.07	-9760.11	-6.96812	14.44858	10.38014	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.294074
4600	-9767.14	-9760.11	-7.03236	14.44858	10.07303	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.603734
4700	-9767	-9760.11	-6.89555	14.44858	10.46495	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.950343
4800	-9767.01	-9760.11	-6.9047	14.44858	10.45596	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.681209
4900	-9766.99	-9760.11	-6.88182	14.44858	10.53031	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.716941
5000	-9766.99	-9760.11	-6.88259	14.44858	10.52148	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.784514
5100	-9767.05	-9760.11	-6.94144	14.44858	10.33307	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.681515
5200	-9767	-9760.11	-6.89082	14.44858	10.48621	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.860111
5300	-9766.94	-9760.11	-6.83813	14.44858	10.68795	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.701202
5400	-9766.96	-9760.11	-6.85097	14.44858	10.63835	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.813311
5500	-9766.89	-9760.11	-6.78435	14.44858	10.92851	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.955189
5600	-9766.96	-9760.11	-6.85597	14.44858	10.6198	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.784417
5700	-9766.93	-9760.11	-6.82802	14.44858	10.73108	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.87542
5800	-9766.8	-9760.11	-6.69724	14.44858	11.33131	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.937786
5900	-9766.81	-9760.11	-6.70429	14.44858	11.32142	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.990896
6000	-9766.68	-9760.11	-6.5715	14.44858	11.83201	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.698722
6100	-9766.67	-9760.11	-6.5631	14.44858	12.09575	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.942033
6200	-9766.66	-9760.11	-6.55765	14.44858	12.16528	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.971219
6300	-9766.61	-9760.11	-6.49852	14.44858	12.41697	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.839005
6400	-9766.63	-9760.11	-6.52556	14.44858	12.14692	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.763023
6500	-9766.7	-9760.11	-6.59113	14.44858	11.93689	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.963016
6600	-9766.68	-9760.11	-6.57578	14.44858	11.79377	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.675151
6700	-9766.54	-9760.11	-6.43401	14.44858	12.2287	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.303272
6800	-9766.51	-9760.11	-6.40796	14.44858	12.27846	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.209306
6900	-9766.52	-9760.11	-6.4123	14.44858	12.24299	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.189847
7000	-9766.66	-9760.11	-6.54883	14.44858	11.83797	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.53611
7100	-9766.75	-9760.11	-6.63962	14.44858	11.63285	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.938326
7200	-9766.82	-9760.11	-6.70908	14.44858	11.17729	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.639619
7300	-9766.99	-9760.11	-6.88421	14.44858	10.57326	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.428714
7400	-9767.11	-9760.11	-7.00486	14.44858	10.14777	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.625766
7500	-9767.12	-9760.11	-7.00928	14.44858	10.0566	26.484	-0.122	4.129	53.274	-0.357	41.917	21.858	57.694	59.785	-44.699	-27.373	-25.065	15.522	37.417	-22.382	22.731	28.323	-44.428	7.906	4.76	3.88689
