Iteration	Posterior	Likelihood	Prior	m	obs[1]	obs[2]	obs[3]	obs[4]	obs[5]	obs[6]	obs[7]	obs[8]	obs[9]	obs[10]	sd
4900	-50.9774	-49.368	-1.60944	4.91709	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9337268
5000	-48.0099	-46.4004	-1.60944	4.776958	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9974497
5100	-46.487	-44.8775	-1.60944	4.964292	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.991918
5200	-46.2819	-44.6724	-1.60944	4.992995	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9910741
5300	-46.6	-44.9906	-1.60944	4.992908	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9859732
5400	-46.0703	-44.4609	-1.60944	4.997474	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9938799
5500	-46.2579	-44.6485	-1.60944	4.980473	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9932671
5600	-48.2876	-46.6782	-1.60944	4.979195	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.962139
5700	-47.6476	-46.0381	-1.60944	4.829519	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9943802
5800	-52.0222	-50.4128	-1.60944	4.970197	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9132877
5900	-47.41	-45.8006	-1.60944	4.97523	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9758345
6000	-47.5773	-45.9679	-1.60944	4.944022	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9777801
6100	-48.2407	-46.6312	-1.60944	4.948371	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9671906
6200	-47.8972	-46.2877	-1.60944	4.922724	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.976064
6300	-45.9627	-44.3533	-1.60944	4.972621	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9992592
6400	-48.6617	-47.0523	-1.60944	4.884162	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9704896
6500	-46.1761	-44.5666	-1.60944	4.985217	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9939134
6600	-47.3711	-45.7617	-1.60944	4.962966	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9781894
6700	-49.1807	-47.5713	-1.60944	4.822972	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9724314
6800	-52.6455	-51.0361	-1.60944	4.970634	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9056684
6900	-46.4124	-44.803	-1.60944	4.940715	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9966288
7000	-48.2523	-46.6429	-1.60944	4.932281	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9693504
7100	-48.4248	-46.8154	-1.60944	4.852314	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9788981
7200	-46.9564	-45.3469	-1.60944	4.88607	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9962588
7300	-47.4632	-45.8538	-1.60944	4.875109	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9899804
7400	-47.2169	-45.6075	-1.60944	4.879689	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9931244
7500	-49.3521	-47.7427	-1.60944	4.788909	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9754215
7600	-49.9456	-48.3362	-1.60944	4.597929	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9999905
7700	-47.091	-45.4815	-1.60944	4.907162	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9908531
7800	-46.8407	-45.2312	-1.60944	4.904406	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9952563
7900	-46.5685	-44.959	-1.60944	4.995268	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9861419
8000	-46.2353	-44.6259	-1.60944	4.945154	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9988534
8100	-49.0205	-47.4111	-1.60944	4.852634	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9701007
8200	-54.8628	-53.2534	-1.60944	4.871139	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.8934176
8300	-49.1012	-47.4918	-1.60944	4.841229	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9707075
8400	-46.35	-44.7405	-1.60944	4.933729	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9987023
8500	-48.7314	-47.122	-1.60944	4.796645	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9832475
8600	-46.6314	-45.0219	-1.60944	4.937018	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9936448
8700	-49.564	-47.9546	-1.60944	4.649484	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9961975
8800	-47.6306	-46.0211	-1.60944	4.905958	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9826376
8900	-47.6224	-46.013	-1.60944	4.921617	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9804046
9000	-51.8886	-50.2791	-1.60944	4.531789	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9848571
9100	-47.37	-45.7606	-1.60944	4.973394	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.97671
9200	-48.1757	-46.5663	-1.60944	4.766044	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9967343
9300	-47.2571	-45.6477	-1.60944	4.953796	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9812799
9400	-47.7785	-46.169	-1.60944	4.977294	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9699535
9500	-48.6041	-46.9946	-1.60944	4.758962	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9914116
9600	-46.1142	-44.5048	-1.60944	4.998388	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9930314
9700	-47.0375	-45.4281	-1.60944	4.900139	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9927792
9800	-46.0877	-44.4782	-1.60944	4.973372	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9970869
9900	-46.4733	-44.8638	-1.60944	4.926501	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9977925
10000	-48.9259	-47.3164	-1.60944	4.68983	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9985119
10100	-47.6863	-46.0769	-1.60944	4.866829	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9878195
10200	-47.7026	-46.0932	-1.60944	4.989137	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9694335
10300	-46.6793	-45.0699	-1.60944	4.981934	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9862791
10400	-47.7934	-46.1839	-1.60944	4.784763	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.999502
10500	-49.5796	-47.9701	-1.60944	4.936536	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.949745
10600	-49.3031	-47.6937	-1.60944	4.818171	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9714291
10700	-47.615	-46.0055	-1.60944	4.836891	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.993694
10800	-45.7845	-44.1751	-1.60944	4.998205	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9984941
10900	-46.5395	-44.93	-1.60944	4.933443	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9956656
11000	-48.9452	-47.3357	-1.60944	4.848645	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9718125
11100	-48.0365	-46.4271	-1.60944	4.946324	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9705145
11200	-48.1567	-46.5472	-1.60944	4.898159	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9758442
11300	-49.7074	-48.098	-1.60944	4.854543	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9600355
11400	-46.8759	-45.2665	-1.60944	4.883809	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9979014
11500	-47.5606	-45.9511	-1.60944	4.965998	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9748539
11600	-46.0278	-44.4183	-1.60944	4.978437	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9973315
11700	-46.0143	-44.4049	-1.60944	4.985613	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9965082
11800	-48.2811	-46.6717	-1.60944	4.929081	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9693928
11900	-48.4069	-46.7975	-1.60944	4.82524	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.98346
12000	-46.2737	-44.6642	-1.60944	4.935199	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9997281
12100	-47.5002	-45.8908	-1.60944	4.919079	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9826622
12200	-46.5926	-44.9832	-1.60944	4.931398	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.995116
12300	-47.4207	-45.8113	-1.60944	4.977292	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9753778
12400	-45.9266	-44.3171	-1.60944	4.977071	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9992047
12500	-46.2808	-44.6714	-1.60944	4.989869	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9915391
12600	-48.4723	-46.8629	-1.60944	4.954382	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.962935
