Iteration	Posterior	Likelihood	Prior	m	obsNodes[1]	obsNodes[2]	obsNodes[3]	obsNodes[4]	obsNodes[5]	obsNodes[6]	obsNodes[7]	obsNodes[8]	obsNodes[9]	obsNodes[10]	sd	z
36000	-58.1486	-25.7343	-32.4143	15.88763	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.176925	15.91026
37000	-57.8028	-25.5742	-32.2286	15.77999	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.093947	15.91026
38000	-58.7192	-26.0387	-32.6805	16.05468	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.054462	15.91026
39000	-59.0242	-26.1881	-32.8361	16.13856	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.068105	15.91026
40000	-59.4107	-26.3766	-33.0341	16.24152	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.08822	15.91026
41000	-59.2294	-26.2911	-32.9383	16.19012	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.0617	15.91026
42000	-59.315	-26.3429	-32.9721	16.19698	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.005526	15.91026
43000	-59.6289	-26.5063	-33.1227	16.25605	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	2.960969	15.91026
44000	-59.4698	-26.405	-33.0649	16.25754	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.094005	15.91026
45000	-59.2731	-26.3076	-32.9656	16.20775	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.093372	15.91026
46000	-58.9919	-26.1616	-32.8303	16.13931	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.132638	15.91026
47000	-59.2377	-26.288	-32.9497	16.20085	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.105524	15.91026
48000	-59.4898	-26.3981	-33.0917	16.27979	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.198958	15.91026
